id,indicator,substitution,frequency,confidence,notes,verdict,Leave in wordplay,delete
101,soldier,RA,508,high,Royal Artillery,,,
100,soldier,RE,327,high,Royal Engineers,,,
122,lawyer,DA,291,high,US,,,
24440,river,MA,277,high,,,,yes
24451,book,NT,237,high,,,,
108,army,TA,224,high,,,,
102,soldier,OR,206,medium,other ranks,,,
140,degree,MA,195,medium,,,,
24536,peacekeepers,UN,189,medium,,,,
24402,party,CON,172,medium,,,,
24510,home counties,SE,171,medium,,,,
139,degree,BA,169,medium,,,,
24436,record,LP,149,medium,,,,
24502,car,RR,136,medium,,,,
104,engineer,RE,131,medium,,,,
24492,jolly,RM,123,medium,,,,yes
24383,road,AI,117,medium,,,,
24493,marines,RM,111,medium,,,,
24453,conservationists,NT,107,medium,,,,yes
124,detective,PI,94,medium,,,,
24466,male,PA,93,medium,,,,
24519,holy man,ST,91,medium,,,,
24463,sailor,OS,85,medium,,,,
24380,now,AD,79,medium,,,,
24507,bearing,SE,68,medium,,,,
112,worker,BEE,68,medium,worker bee,,,
24448,bearing,NE,62,medium,,,,
24476,exercise,PT,60,medium,,,,
144,queen,HM,45,low,,,,
24481,artillery,RA,38,low,,,,
24495,soldier,RM,36,low,,,,
24491,whistle-blower,REF,36,low,,,,
24509,corner,SE,35,low,,,,
24500,sailor,RN,34,low,,,,
24498,nurse,RN,33,low,,,,
24450,corner,NE,32,low,,,,
24442,engineer,ME,32,low,,,,
24441,disease,ME,28,low,,,,
24477,gym,PT,28,low,,,,
24413,policemen,DI,24,low,,,,
24620,tories,CONS,20,low,CONSECRATE,,,
24489,arbiter,REF,19,low,,,,
24497,fleet,RN,17,low,,,,
24406,bishop,DD,16,low,,,,
24513,nazis,SS,15,low,,,,
24405,academic,DD,14,low,,,,
24426,terrorists,IRA,11,low,,,,
93,reverend,REV,10,very_low,,,,
24501,senior service,RN,10,very_low,,,,
110,air force,RAF,9,very_low,,,,
24523,bearing,SW,9,very_low,,,,
24390,doctor,BM,9,very_low,,,,
105,gunner,RA,9,very_low,,,,
24398,policemen,CID,8,very_low,,,,
24503,priest,RR,8,very_low,,,,
24469,computer,PC,7,very_low,,,,
24434,disc,LP,6,very_low,,,,
24484,painters,RA,6,very_low,,,,
24459,map-makers,OS,5,very_low,,,,
24427,internet,ISP,4,very_low,,,,
24496,troop,RM,4,very_low,,,,
24388,honours,BA,3,very_low,,,,
24408,priest,DD,3,very_low,,,,
24409,reverend,DD,3,very_low,,,,
24464,attorney,PA,2,very_low,,,,
24425,paramilitaries,IRA,2,very_low,,,,
24397,policeman,CID,2,very_low,,,,
24445,army cop,MP,1,very_low,,,,
24470,constable,PC,1,very_low,,,,
24458,corner,NW,1,very_low,,,,
24525,corner,SW,1,very_low,,,,
24437,honours,MA,1,very_low,,,,
24428,internet provider,ISP,1,very_low,,,,
24391,medic,BM,1,very_low,,,,
24530,paramilitaries,UDA,1,very_low,,,,
24534,terrorists,UFF,1,very_low,,,,
27031,a call to stop,HO,0,medium,telegraph freq=2,,,
27185,a compass quarter,SE,0,medium,telegraph freq=2,,,
27218,a greeting,HI,0,medium,telegraph freq=2,,,
27189,a member of,IN,0,medium,telegraph freq=2,,,
27028,absence of,NO,0,medium,telegraph freq=2,,,
27060,advertising,PR,0,medium,telegraph freq=2,,,
26709,again,RE,0,medium,telegraph freq=4,,,
26734,alien,ET,0,medium,telegraph freq=3,,,
26733,alternative,OR,0,medium,telegraph freq=3,,,
26753,alternatively,OR,0,medium,telegraph freq=3,,,
27129,always,ER,0,medium,telegraph freq=2,,,yes
27196,an old way of saying you,YE,0,medium,telegraph freq=2,,,
26179,answer,ANS,0,low,times_notation: freq=2,,,
26984,applied to,ON,0,medium,telegraph freq=2,,,
24762,army,RE,0,high,,,,
27167,at work,IN,0,medium,telegraph freq=2,,,
26787,attached to,ON,0,medium,telegraph freq=2,,,
