id,indicator,substitution,frequency,confidence,notes,already_in_synonyms,Leave in wordplay,delete
25594,a certain number,N,0,high,times_notation: minus_pattern freq=1,no,,
27037,a group of three learners or students,L,0,medium,telegraph freq=2,no,,
27078,abbreviation for departs,D,0,medium,telegraph freq=2,no,,
26802,abbreviation for hard,H,0,medium,telegraph freq=2,no,,
26740,about one,I,0,medium,telegraph freq=3,no,,
26681,acceptable,U,0,medium,telegraph freq=6,no,,
25785,ailwa,R,0,medium,times_notation: freq=8,no,,
26850,almost,E,0,medium,telegraph freq=2,no,,
26950,almost,R,0,medium,telegraph freq=2,no,,
26954,almost,P,0,medium,telegraph freq=2,no,,
26848,ano,C,0,medium,telegraph freq=2,no,,
24916,any number,N,0,medium,times_notation: freq=7,no,,
27087,ape,P,0,medium,telegraph freq=2,no,,
25608,ard,H,0,high,times_notation: minus_pattern freq=1,no,,
26545,arge,L,0,high,times_notation: minus_pattern freq=1,no,,
26542,aught,C,0,high,times_notation: minus_pattern freq=1,no,,
27226,beginning to move,M,0,medium,telegraph freq=2,no,,
24961,by,X,0,medium,times_notation: freq=5,no,,
26706,chemical symbol for oxygen,O,0,medium,telegraph freq=4,no,,
27210,compass point,S,0,medium,telegraph freq=2,no,,
27230,depending on which version of the word we started with,T,0,medium,telegraph freq=2,no,,
26887,devoid of right,R,0,medium,telegraph freq=2,no,,
25503,do,C,0,low,times_notation: freq=2,no,,
26830,duck in cricket,O,0,medium,telegraph freq=2,no,,
26657,duck in cricket scoring,O,0,medium,telegraph freq=9,no,,
26547,eagu,L,0,high,times_notation: minus_pattern freq=1,no,,
26089,eall,R,0,low,times_notation: freq=2,no,,
25606,ecrets,S,0,high,times_notation: minus_pattern freq=1,no,,
26712,electrical current,I,0,medium,telegraph freq=4,no,,
26553,emale,F,0,high,times_notation: minus_pattern freq=1,no,,
26546,emerit,T,0,high,times_notation: minus_pattern freq=1,no,,
26084,eorgi,G,0,low,times_notation: freq=2,no,,
26544,esistance,R,0,high,times_notation: minus_pattern freq=1,no,,
26934,este,T,0,medium,telegraph freq=2,no,,
26752,false,A,0,medium,telegraph freq=3,no,,
26916,finally,T,0,medium,telegraph freq=2,no,,
25281,first class,A,0,low,times_notation: freq=2,no,,
27013,first nine letters,I,0,medium,telegraph freq=2,no,,
26803,first of dynamics,D,0,medium,telegraph freq=2,no,,
27058,foremost letter of white,W,0,medium,telegraph freq=2,no,,
27056,four grammatical articles,A,0,medium,telegraph freq=2,no,,
26742,from,A,0,medium,telegraph freq=3,no,,
26958,from one side to the other,L,0,medium,telegraph freq=2,no,,
25895,from the clue,A,0,medium,times_notation: freq=4,no,,
27127,generously given to us by the setter,A,0,medium,telegraph freq=2,no,,
27132,had a go,D,0,medium,telegraph freq=2,no,,
27221,head of government,G,0,medium,telegraph freq=2,no,,
26907,heartless,T,0,medium,telegraph freq=2,no,,
26991,herr,C,0,medium,telegraph freq=2,no,,
26804,highest note,E,0,medium,telegraph freq=2,no,,
26540,ickets,W,0,high,times_notation: minus_pattern freq=1,no,,
26826,ill,V,0,medium,telegraph freq=2,no,,
26551,illions,M,0,high,times_notation: minus_pattern freq=1,no,,
27223,in the middle of sweet,E,0,medium,telegraph freq=2,no,,
26639,indefinite article,A,0,medium,telegraph freq=22,no,,
26721,indefinite number,N,0,medium,telegraph freq=4,no,,
26543,ine,L,0,high,times_notation: minus_pattern freq=1,no,,
26552,istrus,M,0,high,times_notation: minus_pattern freq=1,no,,
24997,knight in chess,N,0,medium,times_notation: freq=4,no,,
26679,knight in chess notation,N,0,medium,telegraph freq=6,no,,
26942,laic,P,0,medium,telegraph freq=2,no,,
27119,last character,Z,0,medium,telegraph freq=2,no,,
26104,learl,C,0,low,times_notation: freq=2,no,,
26993,lic,S,0,medium,telegraph freq=2,no,,
26783,little or abbreviated time,T,0,medium,telegraph freq=2,no,,
26655,love in tennis,O,0,medium,telegraph freq=10,no,,
25005,loves,O,0,medium,times_notation: freq=4,no,,
27192,low council tax band,B,0,medium,telegraph freq=2,no,,
26822,male,A,0,medium,telegraph freq=2,no,,
26641,mathematical unknown,Y,0,medium,telegraph freq=15,no,,
26754,mathematical unknown,X,0,medium,telegraph freq=3,no,,
26766,mathematical unknown,Z,0,medium,telegraph freq=3,no,,
26979,mathematical variable,Y,0,medium,telegraph freq=2,no,,
27133,minimum cash,P,0,medium,telegraph freq=2,no,,
26098,motio,E,0,low,times_notation: freq=2,no,,
25064,multiplied by,X,0,medium,times_notation: freq=3,no,,
27180,musical abbreviation for loud,F,0,medium,telegraph freq=2,no,,
26968,musical abbreviation for quietly,P,0,medium,telegraph freq=2,no,,
26807,musical abbreviation meaning quiet,P,0,medium,telegraph freq=2,no,,
27166,musical instruction meaning loud,F,0,medium,telegraph freq=2,no,,
26759,musical instruction to play loudly,F,0,medium,telegraph freq=3,no,,
26667,musical instruction to play quietly,P,0,medium,telegraph freq=7,no,,
27077,musical instruction to play softly,P,0,medium,telegraph freq=2,no,,
25159,musical key,A,0,low,times_notation: freq=2,no,,
25237,musical note,G,0,low,times_notation: freq=2,no,,
26780,musical note,F,0,medium,telegraph freq=2,no,,
25584,nought,O,0,high,times_notation: minus_pattern freq=1,no,,
27086,number one,I,0,medium,telegraph freq=2,no,,
26915,octo,D,0,medium,telegraph freq=2,no,,
25380,old penny,D,0,low,times_notation: freq=2,no,,
26548,ommitmen,C,0,high,times_notation: minus_pattern freq=1,no,,
25609,on,S,0,high,times_notation: minus_pattern freq=1,no,,
26897,on board,S,0,medium,telegraph freq=2,no,,
27099,one compass point,N,0,medium,telegraph freq=2,no,,
25134,ones,S,0,medium,times_notation: freq=3,no,,
26541,orce,F,0,high,times_notation: minus_pattern freq=1,no,,
25963,our,C,0,medium,times_notation: freq=3,no,,
26538,ower,P,0,high,times_notation: minus_pattern freq=1,no,,
26851,political,A,0,medium,telegraph freq=2,no,,
26824,power supplanted by new,N,0,medium,telegraph freq=2,no,,
26101,pper class,U,0,low,times_notation: freq=2,no,,
26520,rea,A,0,high,times_notation: minus_pattern freq=2,no,,
26763,repeatedly,I,0,medium,telegraph freq=3,no,,
27044,revolving,S,0,medium,telegraph freq=2,no,,
26669,round letter,O,0,medium,telegraph freq=7,no,,
24935,see,V,0,medium,times_notation: freq=6,no,,
26941,sent back,M,0,medium,telegraph freq=2,no,,
27232,short time,T,0,medium,telegraph freq=2,no,,
27159,silent,T,0,medium,telegraph freq=2,no,,
26640,single,I,0,medium,telegraph freq=21,no,,
26998,some,A,0,medium,telegraph freq=2,yes,,
25336,sounds like you,U,0,low,times_notation: freq=2,no,,
26835,source of berries,B,0,medium,telegraph freq=2,no,,
26745,spy boss,M,0,medium,telegraph freq=3,no,,
27137,spymaster,M,0,medium,telegraph freq=2,no,,
27157,stodge,E,0,medium,telegraph freq=2,no,,
27145,teams,S,0,medium,telegraph freq=2,no,,
27206,the abbreviation for large,L,0,medium,telegraph freq=2,no,,
27036,the beginning letter of pick,P,0,medium,telegraph freq=2,no,,
26736,the end of session,N,0,medium,telegraph freq=3,no,,
27173,the end of voyage,E,0,medium,telegraph freq=2,no,,
26996,the final letter of sozzling,G,0,medium,telegraph freq=2,no,,
26995,the final letter of wind,D,0,medium,telegraph freq=2,no,,
27082,the first letter of essayist,E,0,medium,telegraph freq=2,no,,
26810,the first letter of passengers,P,0,medium,telegraph freq=2,no,,
26714,the indefinite article,A,0,medium,telegraph freq=4,no,,
26801,the initial letter of passionately,P,0,medium,telegraph freq=2,no,,
27096,the initial letter of shop,S,0,medium,telegraph freq=2,no,,
26997,the last letter,Z,0,medium,telegraph freq=2,no,,
26987,the musical abbreviation meaning to play quietly,P,0,medium,telegraph freq=2,no,,
25561,the opening note,B,0,high,times_notation: minus_pattern freq=1,no,,
27092,the round letter,O,0,medium,telegraph freq=2,no,,
26723,the symbol for electrical current,I,0,medium,telegraph freq=4,no,,
26808,the ultimate letter of careless,S,0,medium,telegraph freq=2,no,,
26784,the ultimate letter of plans,S,0,medium,telegraph freq=2,no,,
26792,the ultimate letter of shoe,E,0,medium,telegraph freq=2,no,,
25306,the writer,I,0,low,times_notation: freq=2,no,,
25427,this person,I,0,low,times_notation: freq=2,no,,
25487,this person,M,0,low,times_notation: freq=2,no,,
25203,this writer,M,0,low,times_notation: freq=2,no,,
26729,this writer,I,0,medium,telegraph freq=3,no,,
26698,top class,A,0,medium,telegraph freq=5,no,,
27106,two adults,A,0,medium,telegraph freq=2,no,,
26976,two areas,A,0,medium,telegraph freq=2,no,,
27105,two articles,A,0,medium,telegraph freq=2,no,,
26782,two poles,S,0,medium,telegraph freq=2,no,,
25592,uropean,E,0,high,times_notation: minus_pattern freq=1,no,,
26539,usband,H,0,high,times_notation: minus_pattern freq=1,no,,
27093,we had,D,0,medium,telegraph freq=2,no,,
26836,wee,S,0,medium,telegraph freq=2,no,,
26927,with energy for a,E,0,medium,telegraph freq=2,no,,
26833,working,A,0,medium,telegraph freq=2,no,,
26146,xces,E,0,low,times_notation: freq=2,no,,
25399,yours truly,I,0,low,times_notation: freq=2,no,,
